country,year,delivered,only_donated,only_announced,delivered_per_gdp,only_donated_per_gdp,only_announced_per_gdp,delivered_per_used,only_donated_per_used,only_announced_per_used,delivered_per_capita,only_donated_per_capita,only_announced_per_capita
Australia,2022,0,0,60000000,0.0,0.0,41.47999954223633,0.0,0.0,1.065000057220459,0.0,0.0,2.32699990272522
Austria,2022,1200000,2000000,0,2.859999895095825,4.769999980926514,0.0,0.0659999996423721,0.1099999994039535,0.0,0.1330000013113021,0.221000000834465,0.0
Belgium,2022,8200000,4400000,2400000,16.0,8.579999923706055,4.679999828338623,0.324999988079071,0.1739999949932098,0.0949999988079071,0.7049999833106995,0.3779999911785126,0.2060000002384185
Brazil,2022,0,5100000,16900000,0.0,2.25,7.449999809265137,0.0,0.0120000001043081,0.0410000011324882,0.0,0.0240000002086162,0.0790000036358833
Canada,2022,14200000,15200000,21600000,7.690000057220459,8.229999542236328,11.6899995803833,0.1729999929666519,0.1850000023841858,0.2630000114440918,0.3729999959468841,0.3989999890327453,0.5669999718666077
Denmark,2022,7300000,0,700000,19.600000381469727,0.0,1.8799999952316284,0.5529999732971191,0.0,0.0529999993741512,1.25600004196167,0.0,0.1199999973177909
European Union (27),2022,286300000,109000000,131300000,18.38999938964844,7.0,8.430000305175781,0.3330000042915344,0.1270000040531158,0.152999997138977,0.6399999856948853,0.2440000027418136,0.2939999997615814
Finland,2022,2800000,300000,900000,10.579999923706056,1.1299999952316284,3.400000095367432,0.2399999946355819,0.0260000005364418,0.0769999995827674,0.5049999952316284,0.0540000014007091,0.1620000004768371
France,2022,61300000,16100000,42600000,22.450000762939453,5.900000095367432,15.600000381469728,0.4320000112056732,0.1140000000596046,0.3009999990463257,0.9089999794960022,0.238999992609024,0.6320000290870667
Germany,2022,92100000,33400000,49500000,24.549999237060547,8.899999618530273,13.199999809265137,0.5350000262260437,0.1940000057220459,0.2879999876022339,1.0980000495910645,0.3980000019073486,0.5899999737739563
Greece,2022,4300000,0,0,18.600000381469727,0.0,0.0,0.2090000063180923,0.0,0.0,0.4149999916553497,0.0,0.0
Hong Kong,2022,900000,6600000,500000,3.380000114440918,24.790000915527344,1.8799999952316284,0.0599999986588954,0.44200000166893,0.032999999821186,0.1190000027418136,0.8740000128746033,0.0659999996423721
Ireland,2022,1600000,2100000,300000,3.940000057220459,5.170000076293945,0.7400000095367432,0.1490000039339065,0.1949999928474426,0.0280000008642673,0.3210000097751617,0.4210000038146972,0.0599999986588954
Italy,2022,42000000,21100000,8900000,21.43000030517578,10.770000457763672,4.539999961853027,0.3089999854564667,0.1550000011920929,0.0649999976158142,0.6959999799728394,0.3499999940395355,0.1469999998807907
Japan,2022,18100000,26200000,15700000,2.930000066757202,4.230000019073486,2.539999961853028,0.0710000023245811,0.1019999980926513,0.0610000006854534,0.1439999938011169,0.2080000042915344,0.125
Mexico,2022,0,0,20000000,0.0,0.0,16.639999389648438,0.0,0.0,0.1040000021457672,0.0,0.0,0.1539999991655349
Netherlands,2022,14200000,3300000,9500000,15.34000015258789,3.559999942779541,10.260000228881836,0.4169999957084656,0.0970000028610229,0.2790000140666961,0.8270000219345093,0.19200000166893,0.5529999732971191
New Zealand,2022,1200000,6500000,1300000,6.21999979019165,33.709999084472656,6.739999771118164,0.1089999973773956,0.5929999947547913,0.1190000027418136,0.2339999973773956,1.2680000066757202,0.2540000081062317
Norway,2022,3500000,2500000,1000000,7.159999847412109,5.110000133514404,2.049999952316284,0.3100000023841858,0.2220000028610229,0.0890000015497207,0.6399999856948853,0.4569999873638153,0.1829999983310699
Portugal,2022,2900000,900000,1200000,12.359999656677246,3.839999914169312,5.110000133514404,0.1270000040531158,0.0390000008046627,0.0520000010728836,0.2849999964237213,0.0890000015497207,0.1180000007152557
Slovakia,2022,1100000,1000000,0,10.079999923706056,9.15999984741211,0.0,0.1560000032186508,0.1420000046491623,0.0,0.202000007033348,0.1840000003576278,0.0
Slovenia,2022,1100000,300000,600000,20.32999992370605,5.550000190734863,11.09000015258789,0.3689999878406524,0.101000003516674,0.2010000050067901,0.5289999842643738,0.1439999938011169,0.289000004529953
South Korea,2022,0,0,5000000,0.0,0.0,3.400000095367432,0.0,0.0,0.0410000011324882,0.0,0.0,0.0970000028610229
Spain,2022,39600000,20100000,14300000,28.25,14.34000015258789,10.199999809265137,0.421999990940094,0.2140000015497207,0.1519999951124191,0.847000002861023,0.4300000071525574,0.3059999942779541
Sweden,2022,6600000,4000000,400000,11.369999885559082,6.889999866485596,0.6899999976158142,0.3120000064373016,0.1889999955892563,0.0189999993890523,0.6499999761581421,0.3939999938011169,0.0390000008046627
Switzerland,2022,1800000,0,6200000,2.5999999046325684,0.0,8.960000038146973,0.1150000020861625,0.0,0.3959999978542328,0.2070000022649765,0.0,0.7110000252723694
United Arab Emirates,2022,0,0,1000000,0.0,0.0,2.470000028610229,0.0,0.0,0.0410000011324882,0.0,0.0,0.1000000014901161
United Kingdom,2022,29700000,29300000,41000000,11.300000190734863,11.149999618530272,15.600000381469728,0.210999995470047,0.2080000042915344,0.2910000085830688,0.4350000023841858,0.4300000071525574,0.6010000109672546
United States,2022,237600000,276100000,386300000,13.420000076293944,15.59000015258789,21.809999465942383,0.4239999949932098,0.492000013589859,0.6890000104904175,0.7139999866485596,0.8289999961853027,1.159999966621399
